the_geom,si_si_s,field_1,pol_stn,totarea,nm_pol,murder,rape,gangrap,robbery,theft,asltmds,sxlhrsm,distrct,inspsnc,insp__m,in__w_f,cartodb_id,si_si_m,si_si_f,ai_si_s,ai_si_m,ai_si_f,hc_snc,hc_wrkm,hc_wrkf,cnst_sn,cnst_wm,cnst_wf,tl_shrt,totcrm,tsnc,twrk,long,lat
0101000020E610000076FD82DDB051534065CC5D4BC8A73C40,8,143,POLICE STATION-GEETA COLONY,1021961.2191,GEETA COLONY,3,6,0,9,254,9,11,North,3,3,0,144,7,1,9,8,2,53,24,0,152,152,13,92,292,236,210,77.27642,28.6554
0101000020E61000001904560E2D4E53400EF8FC3042B03C40,14,145,POLICE STATION-CIVIL LINES,4215542.87998,CIVIL LINES,3,9,0,63,791,24,17,North West,3,3,0,146,10,2,14,8,1,40,44,3,95,95,13,36,907,183,179,77.2215,28.68851
0101000020E61000007AC2120F284B53407E1D386744B13C40,10,146,POLICE STATION-ASHOK VIHAR,3536288.0393,ASHOK VIHAR,5,10,2,52,445,22,7,North East,3,3,0,147,10,2,14,8,1,55,29,2,120,120,13,47,543,209,188,77.17432,28.69245
0101000020E6100000543541D47D465340C173EFE192A33C40,12,147,POLICE STATION-TILAK NAGAR,1622207.44643,TILAK NAGAR,7,29,3,44,466,27,8,Outer,3,2,0,148,9,2,20,14,0,62,29,4,144,144,13,80,584,249,217,77.10143,28.63896
0101000020E6100000DE76A1B94E455340CA1AF5108D963C40,11,148,POLICE STATION-PALAM VILLAGE,1326803.62449,PALAM VILLAGE,4,9,3,22,192,19,4,West,3,3,0,149,6,3,4,7,2,28,26,1,94,94,10,6,253,144,152,77.08293,28.58809
0101000020E6100000ECFA05BB61495340C41B9947FEA83C40,10,149,POLICE STATION-MOTI NAGAR,3148605.14162,MOTI NAGAR,2,24,0,44,814,41,24,West,3,3,0,150,5,2,18,10,1,42,26,3,87,87,8,31,949,184,145,77.14659,28.66013
0101000020E6100000A6D0798D5D4653404DD1915CFE9B3C40,9,150,POLICE STATION-HARI NAGAR,2386161.47934,HARI NAGAR,5,17,0,11,469,21,5,South East,3,2,0,151,5,1,17,6,0,56,29,3,112,112,12,55,528,202,170,77.09946,28.60935
0101000020E6100000722EC555654D534092C6681D55A53C40,13,151,POLICE STATION-PAHARGANJ,1728182.34639,PAHARGANJ,7,16,0,19,283,29,14,West,3,3,0,152,11,1,9,9,0,47,39,0,127,127,12,15,368,213,202,77.20931,28.64583
0101000020E61000003A234A7B834D53403AE97DE36BA73C40,10,152,POLICE STATION-SADAR BAZAR,2975208.71941,SADAR BAZAR,4,3,0,13,379,3,4,Central,3,2,0,153,7,0,20,9,0,37,27,3,90,90,8,14,406,164,146,77.21115,28.65399
0101000020E6100000C269C18BBE4C534009E1D1C611933C40,8,153,POLICE STATION-SAROJINI NAGAR,1891342.63444,SAROJINI NAGAR,1,5,0,25,347,6,0,Central,3,2,0,154,9,2,22,9,0,48,27,1,97,97,8,37,384,178,155,77.19913,28.57449
0101000020E6100000CD069964E43E53406ABC7493189C3C40,9,154,POLICE STATION-NAJAFGARH,8461597.12373,NAJAFGARH,2,4,0,54,895,9,9,West,3,2,0,155,7,2,14,10,1,54,25,5,107,107,13,28,973,196,172,76.98269,28.60975
0101000020E6100000840D4FAF944553409D9D0C8E92873C40,8,155,POLICE STATION-KAPASHERA,21500572.7905,KAPASHERA,1,12,3,19,143,16,2,South West,2,2,0,156,4,2,11,5,1,22,23,1,62,62,9,16,196,107,109,77.0872,28.52958
0101000020E6100000CE8DE9094B54534030D80DDB169D3C40,6,156,POLICE STATION-KALYAN PURI DELHI,878452.778898,KALYANPURI,5,8,0,33,245,9,3,South West,3,2,0,157,6,2,9,9,1,50,23,0,98,98,8,44,303,169,149,77.31708,28.61363
0101000020E6100000FD82DDB06D5353402C211FF46C7E3C40,9,157,POLICE STATION-BADARPUR,2116989.69724,BADAR PUR,4,11,1,59,318,10,8,North East,3,3,0,158,9,2,13,9,0,52,40,0,135,135,9,50,411,220,207,77.30357,28.49385
